school_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,AIR RIFLE / SHOOTING,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BADMINTON,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BASKETBALL,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,HOCKEY,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,NETBALL,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,ROCKWALL CLIMBING,CLIMBING CLUB
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FOOTBALL,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,SQUASH,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TABLE TENNIS,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TENNIS,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,WUSHU,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,VOLLEYBALL,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FRISBEE,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,UNIFORMED GROUPS,SINGAPORE RED CROSS SOCIETY,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ORCHESTRA - CHINESE,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHOIR,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ENSEMBLE - GUITAR,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ENSEMBLE - HARMONICA,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,BAND - SYMPHONIC,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DANCE - MODERN,DANCE SOCIETY
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DRAMA - ENGLISH,StAJeWorks
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,MUSICIANS' CLUB,MUSIC CLUB
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,AUDIO & VIDEO/ PA CLUB,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,CHESS CLUB,STRATEGIST SOCIETY
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,DEBATING AND ORATORICAL SOCIETY,DEBATE AND CREATIVE COMMUNICATIONS
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,INTERACT CLUB,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,PHOTOGRAPHIC SOCIETY,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,STUDENTS' COUNCIL,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,SCIENCE SOCIETY,PROJECT EUREKA
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,SINGAPORE YOUTH FLYING CLUB,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,LDDS - CHINESE,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,LDDS - INDIAN,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,LDDS - MALAY,na
ANDERSON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,VISUAL ARTS CLUB,na
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,AIR RIFLE / SHOOTING,AIR WEAPONS
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BADMINTON,na
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BASKETBALL,na
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,NETBALL,NETBALL
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FOOTBALL,na
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,SQUASH,na
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TRACK & FIELD,na
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TABLE TENNIS,na
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TENNIS,na
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,WUSHU,na
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,VOLLEYBALL,na
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FLOORBALL,na
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TEN-PIN BOWLING,TENPIN BOWLING
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ORCHESTRA - CHINESE,CHINESE ORCHESTRA
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHOIR,YJC CHORALE
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ENSEMBLE - GUITAR,GUITAR ENSEMBLE
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,BAND - BRASS,SYMPHONIC BAND
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DANCE - MODERN,DANCE
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ART AND CRAFT CLUB,ART CLUB
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,LDDS - ENGLISH,ENGLISH LANGUAGE DRAMA AND DEBATING SOCIETY (DEBATE)
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,FIRST AID CLUB,CLUB UNIAID
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,INTERACT CLUB,na
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,LIBRARY COUNCIL,na
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,OUTDOOR ACTIVITIES CLUB,na
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,STUDENTS' COUNCIL,STUDENTS' COUNCIL
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,ENTREPRENEUR CLUB,ENTREPRENEURSHIP CLUB
YISHUN JUNIOR COLLEGE,JUNIOR COLLEGE,OTHERS,HOUSE APPOINTMENT,HOUSE COMMITTEE
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BASKETBALL,na
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,CANOEING/ROWING/DRAGON BOAT,CANOEING
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,CRICKET,FOOTBALL (GIRLS)
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,NETBALL,na
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,ROCKWALL CLIMBING,ROCKCLIMBING
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FOOTBALL,FOOTBALL (BOYS)
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TRACK & FIELD,na
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TENNIS,na
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TAEKWONDO,na
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,VOLLEYBALL,na
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,ATHLETICS,RUNNERS' CLUB
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FRISBEE,ULTIMATE FRISBEE
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHOIR,na
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ENSEMBLE - GUITAR,na
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ENSEMBLE - GUZHENG,na
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DANCE - MODERN,na
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DRAMA - ENGLISH,SR DRAMA
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,BAND - CONCERT,SYMPHONIC BAND
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,AUDIO & VIDEO/ PA CLUB,AVA CLUB
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,DEBATING AND ORATORICAL SOCIETY,SRJC DEBATES
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,LIBRARY COUNCIL,ICRAFT CLUB
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,OUTDOOR ACTIVITIES CLUB,ODAC
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,PHOTOGRAPHIC SOCIETY,PHOTOGRAPHIC SOCIETY
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,STUDENTS' COUNCIL,STUDENT COUNCIL
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,SCIENCE SOCIETY,S*STAR
