school_name,moe_programme_desc
NATIONAL JUNIOR COLLEGE,ART ELECTIVE PROGRAMME
TEMASEK JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (CHINESE)
TEMASEK JUNIOR COLLEGE,MUSIC ELECTIVE PROGRAMME
JURONG JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (CHINESE)
VICTORIA JUNIOR COLLEGE,DRAMA ELECTIVE PROGRAMME
TAMPINES JUNIOR COLLEGE,DRAMA ELECTIVE PROGRAMME
TAMPINES JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (MALAY)
PIONEER JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (MALAY)
INNOVA JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (MALAY)
CATHOLIC JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (ENGLISH)
ANGLO-CHINESE JUNIOR COLLEGE,DRAMA ELECTIVE PROGRAMME
ANGLO-CHINESE JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (ENGLISH)
ANGLO-CHINESE JUNIOR COLLEGE,MUSIC ELECTIVE PROGRAMME
NANYANG JUNIOR COLLEGE,ART ELECTIVE PROGRAMME
NANYANG JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (CHINESE)
HWA CHONG INSTITUTION,ART ELECTIVE PROGRAMME
HWA CHONG INSTITUTION,LANGUAGE ELECTIVE PROGRAMME (CHINESE)
CRESCENT GIRLS' SCHOOL,MUSIC ELECTIVE PROGRAMME
RAFFLES GIRLS' SCHOOL (SECONDARY),MUSIC ELECTIVE PROGRAMME
RAFFLES INSTITUTION,LANGUAGE ELECTIVE PROGRAMME (ENGLISH)
RAFFLES INSTITUTION,MUSIC ELECTIVE PROGRAMME
TANJONG KATONG GIRLS' SCHOOL,MUSIC ELECTIVE PROGRAMME
VICTORIA SCHOOL,ART ELECTIVE PROGRAMME
DUNMAN HIGH SCHOOL,LANGUAGE ELECTIVE PROGRAMME (CHINESE)
DUNMAN HIGH SCHOOL,MUSIC ELECTIVE PROGRAMME
BUKIT PANJANG GOVT. HIGH SCHOOL,ART ELECTIVE PROGRAMME
ZHONGHUA SECONDARY SCHOOL,ART ELECTIVE PROGRAMME
ANGLO-CHINESE SCHOOL (INDEPENDENT),MUSIC ELECTIVE PROGRAMME
CHIJ SECONDARY (TOA PAYOH),ART ELECTIVE PROGRAMME
METHODIST GIRLS' SCHOOL (SECONDARY),MUSIC ELECTIVE PROGRAMME
CATHOLIC HIGH SCHOOL,MUSIC ELECTIVE PROGRAMME
NANYANG GIRLS' HIGH SCHOOL,ART ELECTIVE PROGRAMME
CHIJ ST. NICHOLAS GIRLS' SCHOOL,MUSIC ELECTIVE PROGRAMME
